,SMILES,SMILES_opp,TR/TE,F/L_class,@/@@_class,R/S_class
12,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@]1(CCC)c1ccccc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CCC)c1ccccc1,TE,F,@,R
13,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CCC)c1ccccc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@]1(CCC)c1ccccc1,TE,L,@@,S
14,C=C1c2ccc(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TE,F,@@,S
15,C=C1c2ccc(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TE,L,@,R
16,C=C[C@H](C1CCCCC1)n1ccc2ccccc21,C=C[C@@H](C1CCCCC1)n1ccc2ccccc21,TE,F,@,R
17,C=C[C@@H](C1CCCCC1)n1ccc2ccccc21,C=C[C@H](C1CCCCC1)n1ccc2ccccc21,TE,L,@@,S
18,C=C[C@@H](CCC)S(=O)(=O)c1ccc(C)cc1,C=C[C@H](CCC)S(=O)(=O)c1ccc(C)cc1,TE,F,@@,R
19,C=C[C@H](CCC)S(=O)(=O)c1ccc(C)cc1,C=C[C@@H](CCC)S(=O)(=O)c1ccc(C)cc1,TE,L,@,S
20,C=C[C@@H](CCCCC)c1c[nH]c2ccc(Cl)cc12,C=C[C@H](CCCCC)c1c[nH]c2ccc(Cl)cc12,TE,F,@@,R
21,C=C[C@H](CCCCC)c1c[nH]c2ccc(Cl)cc12,C=C[C@@H](CCCCC)c1c[nH]c2ccc(Cl)cc12,TE,L,@,S
22,C=C[C@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,C=C[C@@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,TE,F,@,S
23,C=C[C@@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,C=C[C@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,TE,L,@@,R
24,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,TE,F,@@,R
25,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,TE,L,@,S
26,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,TE,F,@@,R
27,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,TE,L,@,S
28,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,TE,F,@,S
29,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,TE,L,@@,R
30,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,TE,F,@,S
31,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,TE,L,@@,R
32,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,TE,F,@,S
33,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,TE,L,@@,R
34,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,TE,F,@,S
35,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,TE,L,@@,R
36,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,TE,F,@,S
37,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,TE,L,@@,R
38,CC(=O)c1ccc([C@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,CC(=O)c1ccc([C@@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,TE,F,@,R
39,CC(=O)c1ccc([C@@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,CC(=O)c1ccc([C@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,TE,L,@@,S
40,CC(=O)c1ccc([C@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,CC(=O)c1ccc([C@@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,TE,F,@,R
41,CC(=O)c1ccc([C@@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,CC(=O)c1ccc([C@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,TE,L,@@,S
42,CC(=O)c1cccc(C[C@@H]2CCON2C(=O)OC(C)(C)C)c1,CC(=O)c1cccc(C[C@H]2CCON2C(=O)OC(C)(C)C)c1,TE,F,@@,R
43,CC(=O)c1cccc(C[C@H]2CCON2C(=O)OC(C)(C)C)c1,CC(=O)c1cccc(C[C@@H]2CCON2C(=O)OC(C)(C)C)c1,TE,L,@,S
44,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccc(Cl)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(Cl)cc1,TE,F,@@,R
45,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccc(Cl)cc1,TE,L,@,S
46,CC(=O)N[C@@H](CS(C)(=O)=O)C1CCCCC1,CC(=O)N[C@H](CS(C)(=O)=O)C1CCCCC1,TE,F,@@,R
47,CC(=O)N[C@H](CS(C)(=O)=O)C1CCCCC1,CC(=O)N[C@@H](CS(C)(=O)=O)C1CCCCC1,TE,L,@,S
48,CC(C)(C)[C@@]1(CI)COc2ccccc21,CC(C)(C)[C@]1(CI)COc2ccccc21,TE,F,@@,S
49,CC(C)(C)[C@]1(CI)COc2ccccc21,CC(C)(C)[C@@]1(CI)COc2ccccc21,TE,L,@,R
50,CC(C)(C)c1ccc(/C=C/[P@](=O)(c2ccccc2)C(C)(C)C)cc1,CC(C)(C)c1ccc(/C=C/[P@@](=O)(c2ccccc2)C(C)(C)C)cc1,TE,F,@,R
51,CC(C)(C)c1ccc(/C=C/[P@@](=O)(c2ccccc2)C(C)(C)C)cc1,CC(C)(C)c1ccc(/C=C/[P@](=O)(c2ccccc2)C(C)(C)C)cc1,TE,L,@@,S
52,CC(C)(C)c1ccc(COCN2C(=O)[C@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1,CC(C)(C)c1ccc(COCN2C(=O)[C@@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1,TE,F,@,S
53,CC(C)(C)c1ccc(COCN2C(=O)[C@@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1,CC(C)(C)c1ccc(COCN2C(=O)[C@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1,TE,L,@@,R
54,CC(C)(C)N1C(=O)[C@@H](c2ccsc2)N(C(C)(C)C)C1=O,CC(C)(C)N1C(=O)[C@H](c2ccsc2)N(C(C)(C)C)C1=O,TE,F,@@,R
55,CC(C)(C)N1C(=O)[C@H](c2ccsc2)N(C(C)(C)C)C1=O,CC(C)(C)N1C(=O)[C@@H](c2ccsc2)N(C(C)(C)C)C1=O,TE,L,@,S
56,CC(C)(C)NC(=O)[C@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)NC(=O)[C@@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,F,@,R
57,CC(C)(C)NC(=O)[C@@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)NC(=O)[C@H](OC(=O)C(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,L,@@,S
58,CC(C)(C)NC(=O)c1ccccc1[C@@H](C#Cc1ccccc1)Cc1ccccc1,CC(C)(C)NC(=O)c1ccccc1[C@H](C#Cc1ccccc1)Cc1ccccc1,TE,F,@@,R
59,CC(C)(C)NC(=O)c1ccccc1[C@H](C#Cc1ccccc1)Cc1ccccc1,CC(C)(C)NC(=O)c1ccccc1[C@@H](C#Cc1ccccc1)Cc1ccccc1,TE,L,@,S
60,CC(C)(C)OC(=O)C(C)(C)C[C@@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,CC(C)(C)OC(=O)C(C)(C)C[C@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,TE,F,@@,R
61,CC(C)(C)OC(=O)C(C)(C)C[C@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,CC(C)(C)OC(=O)C(C)(C)C[C@@H](C#Cc1ccc(C#N)cc1)c1ccc(Br)cc1,TE,L,@,S
62,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCC[C@@H](Cc2ccccc2)C1=O,TE,F,@,R
63,CC(C)(C)OC(=O)N1CCC[C@@H](Cc2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccccc2)C1=O,TE,L,@@,S
64,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,TE,F,@,S
65,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1ccc([N+](=O)[O-])cc1,TE,L,@@,R
66,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,F,@,S
67,CC(C)(C)OC(=O)N[C@@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)N[C@H](C(=[N+]=[N-])P(=O)(OC(C)(C)C)OC(C)(C)C)c1cccc([N+](=O)[O-])c1,TE,L,@@,R
68,CC(C)(C)[P@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1,CC(C)(C)[P@@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1,TE,F,@,R
69,CC(C)(C)[P@@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1,CC(C)(C)[P@](=O)(/C(=C/c1ccccc1)c1ccccc1)c1ccccc1,TE,L,@@,S
70,CC(C)(C)[P@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,CC(C)(C)[P@@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,TE,F,@,R
71,CC(C)(C)[P@@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,CC(C)(C)[P@](=O)(/C=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,TE,L,@@,S
72,CC(C)(C)[P@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1,CC(C)(C)[P@@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1,TE,F,@,R
73,CC(C)(C)[P@@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1,CC(C)(C)[P@](=O)(/C=C/c1ccc2ccccc2c1)c1ccccc1,TE,L,@@,S
74,CC(C)(C)[P@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,CC(C)(C)[P@@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,TE,F,@,R
75,CC(C)(C)[P@@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,CC(C)(C)[P@](=O)(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,TE,L,@@,S
76,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,CC(C)(C)S(=O)(=O)N[C@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,TE,F,@@,R
77,CC(C)(C)S(=O)(=O)N[C@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,TE,L,@,S
78,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,CC(C)(C)S(=O)(=O)N[C@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,TE,F,@@,R
79,CC(C)(C)S(=O)(=O)N[C@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,TE,L,@,S
80,CC(C)=C[C@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,CC(C)=C[C@@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,TE,F,@,R
81,CC(C)=C[C@@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,CC(C)=C[C@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,TE,L,@@,S
82,CC(C)O[C@H](c1ccccc1)c1ccccc1O,CC(C)O[C@@H](c1ccccc1)c1ccccc1O,TE,F,@,R
83,CC(C)O[C@@H](c1ccccc1)c1ccccc1O,CC(C)O[C@H](c1ccccc1)c1ccccc1O,TE,L,@@,S
84,CC(C)[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CC(C)[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TE,F,@@,R
85,CC(C)[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CC(C)[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TE,L,@,S
86,C[C@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,C[C@@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,TE,F,@,R
87,C[C@@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,C[C@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,TE,L,@@,S
88,C[C@H](C#Cc1ccc(C=O)cc1)c1ccccc1C(=O)NC(C)(C)C,C[C@@H](C#Cc1ccc(C=O)cc1)c1ccccc1C(=O)NC(C)(C)C,TE,F,@,R
89,C[C@@H](C#Cc1ccc(C=O)cc1)c1ccccc1C(=O)NC(C)(C)C,C[C@H](C#Cc1ccc(C=O)cc1)c1ccccc1C(=O)NC(C)(C)C,TE,L,@@,S
90,C[C@H](C#Cc1ccc(F)cc1)c1ccccc1C(=O)NC(C)(C)C,C[C@@H](C#Cc1ccc(F)cc1)c1ccccc1C(=O)NC(C)(C)C,TE,F,@,R
91,C[C@@H](C#Cc1ccc(F)cc1)c1ccccc1C(=O)NC(C)(C)C,C[C@H](C#Cc1ccc(F)cc1)c1ccccc1C(=O)NC(C)(C)C,TE,L,@@,S
92,C[C@H](C#Cc1cccc(Cl)c1)c1ccccc1C(=O)NC(C)(C)C,C[C@@H](C#Cc1cccc(Cl)c1)c1ccccc1C(=O)NC(C)(C)C,TE,F,@,R
93,C[C@@H](C#Cc1cccc(Cl)c1)c1ccccc1C(=O)NC(C)(C)C,C[C@H](C#Cc1cccc(Cl)c1)c1ccccc1C(=O)NC(C)(C)C,TE,L,@@,S
94,C[C@H](C#Cc1ccccc1)c1ccccc1C=O,C[C@@H](C#Cc1ccccc1)c1ccccc1C=O,TE,F,@,R
95,C[C@@H](C#Cc1ccccc1)c1ccccc1C=O,C[C@H](C#Cc1ccccc1)c1ccccc1C=O,TE,L,@@,S
96,C[C@@H](C#Cc1ccccc1)c1ccccc1CC(C)(C)NC(=O)c1ccccc1,C[C@H](C#Cc1ccccc1)c1ccccc1CC(C)(C)NC(=O)c1ccccc1,TE,F,@@,S
97,C[C@H](C#Cc1ccccc1)c1ccccc1CC(C)(C)NC(=O)c1ccccc1,C[C@@H](C#Cc1ccccc1)c1ccccc1CC(C)(C)NC(=O)c1ccccc1,TE,L,@,R
98,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c1ccc(OC(F)(F)F)cc1,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c1ccc(OC(F)(F)F)cc1,TE,F,@,R
99,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c1ccc(OC(F)(F)F)cc1,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c1ccc(OC(F)(F)F)cc1,TE,L,@@,S
100,CC1(C)CN(C(=S)Nc2ccccc2)[C@@](C)(c2ccc(Cl)cc2)C1,CC1(C)CN(C(=S)Nc2ccccc2)[C@](C)(c2ccc(Cl)cc2)C1,TE,F,@@,R
101,CC1(C)CN(C(=S)Nc2ccccc2)[C@](C)(c2ccc(Cl)cc2)C1,CC1(C)CN(C(=S)Nc2ccccc2)[C@@](C)(c2ccc(Cl)cc2)C1,TE,L,@,S
102,CC1(C)OB(c2ccc([C@@]3(c4ccccc4)CCCCC3=O)cc2)OC1(C)C,CC1(C)OB(c2ccc([C@]3(c4ccccc4)CCCCC3=O)cc2)OC1(C)C,TE,F,@@,S
103,CC1(C)OB(c2ccc([C@]3(c4ccccc4)CCCCC3=O)cc2)OC1(C)C,CC1(C)OB(c2ccc([C@@]3(c4ccccc4)CCCCC3=O)cc2)OC1(C)C,TE,L,@,R
104,C[C@@]1(CC#Cc2ccccc2)COc2ccc(F)cc21,C[C@]1(CC#Cc2ccccc2)COc2ccc(F)cc21,TE,F,@@,S
105,C[C@]1(CC#Cc2ccccc2)COc2ccc(F)cc21,C[C@@]1(CC#Cc2ccccc2)COc2ccc(F)cc21,TE,L,@,R
106,C[C@]1(CC#Cc2cccs2)CN(Cc2ccccc2)C(=O)c2ccccc21,C[C@@]1(CC#Cc2cccs2)CN(Cc2ccccc2)C(=O)c2ccccc21,TE,F,@,R
107,C[C@@]1(CC#Cc2cccs2)CN(Cc2ccccc2)C(=O)c2ccccc21,C[C@]1(CC#Cc2cccs2)CN(Cc2ccccc2)C(=O)c2ccccc21,TE,L,@@,S
108,Cc1c([C@@H](C(=O)OCc2ccccc2)c2ccccc2)c2ccccc2n1Cc1ccc2ccccc2c1,Cc1c([C@H](C(=O)OCc2ccccc2)c2ccccc2)c2ccccc2n1Cc1ccc2ccccc2c1,TE,F,@@,S
109,Cc1c([C@H](C(=O)OCc2ccccc2)c2ccccc2)c2ccccc2n1Cc1ccc2ccccc2c1,Cc1c([C@@H](C(=O)OCc2ccccc2)c2ccccc2)c2ccccc2n1Cc1ccc2ccccc2c1,TE,L,@,R
110,Cc1c([C@H](C)C(=O)OCc2ccccc2)c2ccccc2n1Cc1ccccc1,Cc1c([C@@H](C)C(=O)OCc2ccccc2)c2ccccc2n1Cc1ccccc1,TE,F,@,S
111,Cc1c([C@@H](C)C(=O)OCc2ccccc2)c2ccccc2n1Cc1ccccc1,Cc1c([C@H](C)C(=O)OCc2ccccc2)c2ccccc2n1Cc1ccccc1,TE,L,@@,R
112,Cc1c2n(c3ccccc13)C(=O)[C@@](O)(C(F)(F)F)C2,Cc1c2n(c3ccccc13)C(=O)[C@](O)(C(F)(F)F)C2,TE,F,@@,R
113,Cc1c2n(c3ccccc13)C(=O)[C@](O)(C(F)(F)F)C2,Cc1c2n(c3ccccc13)C(=O)[C@@](O)(C(F)(F)F)C2,TE,L,@,S
114,C[C@@H]1CC(=O)N(C(C)(C)c2ccccn2)/C1=C/c1ccc(C(C)(C)C)cc1,C[C@H]1CC(=O)N(C(C)(C)c2ccccn2)/C1=C/c1ccc(C(C)(C)C)cc1,TE,F,@@,R
115,C[C@H]1CC(=O)N(C(C)(C)c2ccccn2)/C1=C/c1ccc(C(C)(C)C)cc1,C[C@@H]1CC(=O)N(C(C)(C)c2ccccn2)/C1=C/c1ccc(C(C)(C)C)cc1,TE,L,@,S
116,C[C@@H]1CC(=O)N(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)N=C1c1ccc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c([N+](=O)[O-])c1,C[C@H]1CC(=O)N(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)N=C1c1ccc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c([N+](=O)[O-])c1,TE,F,@@,R
117,C[C@H]1CC(=O)N(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)N=C1c1ccc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c([N+](=O)[O-])c1,C[C@@H]1CC(=O)N(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)N=C1c1ccc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c([N+](=O)[O-])c1,TE,L,@,S
118,Cc1cc(C)cc([C@H]2NC(=O)Nc3ccccc32)c1,Cc1cc(C)cc([C@@H]2NC(=O)Nc3ccccc32)c1,TE,F,@,R
119,Cc1cc(C)cc([C@@H]2NC(=O)Nc3ccccc32)c1,Cc1cc(C)cc([C@H]2NC(=O)Nc3ccccc32)c1,TE,L,@@,S
120,Cc1cc2c(cc1C)N(S(=O)(=O)C(F)(F)F)[C@@H](/C=C/c1ccsc1)C2,Cc1cc2c(cc1C)N(S(=O)(=O)C(F)(F)F)[C@H](/C=C/c1ccsc1)C2,TE,F,@@,R
121,Cc1cc2c(cc1C)N(S(=O)(=O)C(F)(F)F)[C@H](/C=C/c1ccsc1)C2,Cc1cc2c(cc1C)N(S(=O)(=O)C(F)(F)F)[C@@H](/C=C/c1ccsc1)C2,TE,L,@,S
122,Cc1ccc([C@H](C#Cc2ccc(C#N)cc2)CC(C)(C)C(=O)OC(C)(C)C)cc1,Cc1ccc([C@@H](C#Cc2ccc(C#N)cc2)CC(C)(C)C(=O)OC(C)(C)C)cc1,TE,F,@,R
123,Cc1ccc([C@@H](C#Cc2ccc(C#N)cc2)CC(C)(C)C(=O)OC(C)(C)C)cc1,Cc1ccc([C@H](C#Cc2ccc(C#N)cc2)CC(C)(C)C(=O)OC(C)(C)C)cc1,TE,L,@@,S
124,Cc1ccc([C@](c2ccccc2)(c2ccc(O)cc2)c2ccccc2F)[nH]1,Cc1ccc([C@@](c2ccccc2)(c2ccc(O)cc2)c2ccccc2F)[nH]1,TE,F,@,R
125,Cc1ccc([C@@](c2ccccc2)(c2ccc(O)cc2)c2ccccc2F)[nH]1,Cc1ccc([C@](c2ccccc2)(c2ccc(O)cc2)c2ccccc2F)[nH]1,TE,L,@@,S
